captured_at_utc,round_id,round_name,round_index_in_split,market_opens_at,market_closes_at,market_is_open,round_player_id,pro_player_id,summoner_name,role,team_id,team_code,team_name,price,previous_round_price,price_change,is_split_start_price,average_round_score,last_round_score,min_round_score,max_round_score,stats_last_round_price,stats_split_id,stats_split_name,stats_split_year,opponent_codes,opponent_sides,match_timestamps,image_url,source_endpoint
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,bcc4b088-212c-4c88-9340-73fa9be7e7cf,48c588fd-35f6-4f4b-a7aa-90d6b15a607f,Loki ,mid,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,17.4,15.2,2.2,False,18.3925,26.27,10.515,26.27,17.4,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1739477209687_headsshot.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,79f4e1b8-f350-473c-abff-db3b8a530676,5dfe05bf-d04f-4d10-baa0-abcc8c44916b,FBI,bottom,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,14.1,14,0.1,False,15.376666666666669,16.150000000000002,14.603333333333333,16.150000000000002,14.1,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,LYON,red,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1753349110894_image6224.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,f00237c5-8ca0-4216-8cec-fcac64bd6da7,3f0fbcc9-0ad5-41c1-af28-35aa47117f36,Palafox,mid,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,13.2,13.4,-0.2,False,14.579999999999998,13.90333333333333,13.90333333333333,15.256666666666668,13.2,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,LYON,red,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1739479665255_ggsdgs21.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,6f2c65a5-97fd-41e8-9dfc-beb5c27f4c79,64124525-7371-441e-8d57-66d8563d9d29,Impact,top,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,12.3,14.2,-1.9,False,12.484166666666667,7.675000000000001,7.675000000000001,17.293333333333333,12.3,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SR,red,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/1726214749557_TL_1500x1500_IMPACT_02.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,690ef6c9-a5e6-4703-8e1e-ef8e5d625c0e,0da01860-823a-43a5-9359-d76fa47792e6,Srtty,top,a7520418-4986-4870-8c86-7c5acd3f443c,DSG,Disguised,10.5,13.3,-2.8,False,5.745,2.805,2.805,8.685,10.5,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,C9,blue,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1739516062006_ggsdgs4.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,b6ba9645-426b-4f3e-8cf5-263bb81713df,72bc17f3-6be0-406b-99d5-a81186829c51,huhi,support,3dbff4da-4675-4f41-847b-342815a72e39,SEN,Sentinels,15.4,16.5,-1.1,False,18.59166666666667,13.7,13.7,23.483333333333334,15.4,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,SR,red,2026-08-08T23:00:00.000Z,http://static.lolesports.com/players/1739478876354_ggsdgs8.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,d96bcebf-195d-484c-9dea-a1d0478439ec,3d069aeb-9508-4c56-a390-b6dda95527c4,Quad,mid,848fdaaf-589a-4e94-b3dc-90299584db0b,FLY,FlyQuest,18.3,15.7,2.6,False,18.0075,28.46,7.555,28.46,18.3,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,TLAW,red,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1726214531962_FLY_1500x1500_QUAD_01.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,e5b96e2f-ef85-4603-99ae-874b4b20c56b,4cce3077-b9b4-45d7-9f12-4cb74b272196,Isles,support,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,21.6,18.6,3.0,False,25.8725,33.525,18.22,33.525,21.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DIG,blue,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1739478353611_ggsdgs123.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,9992a5e5-bbe2-4f31-9e88-de08c54cae53,728578de-d384-40d7-9008-22dbb71806d3,Saint,mid,47a8978e-8e16-434c-ba6d-a9e7bb1956ef,LYON,LYON,21.6,20.6,1.0,False,23.1175,27.465,18.77,27.465,21.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DIG,blue,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1739479237170_ggsdgs4.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,5d2abf54-5950-4a3d-89b9-21a4515827f2,4422bc32-4b72-4eeb-afc0-76ce0946d4bb,Blaber,jungle,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,17.8,15.6,2.2,False,18.6875,27,10.375,27,17.8,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1739477380185_ggsdgsd.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,71fbf133-8818-41bf-a783-554a7e3c3c8c,7cf2a890-7c07-46b1-af4f-5cfff67e4728,Thanatos,top,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,17.6,18,-0.4,False,15.4275,18.21,12.645,18.21,17.6,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1739476937623_image13.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,78c144e3-c92a-49cf-88c8-3c3b9116b4f9,126a414a-52a9-4289-91f3-5370c312d825,Zven,bottom,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,20,20,0.0,False,,,,,,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1739477500671_ggsdgs1.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,4a124f7d-0465-47a7-8eca-5cb97295265c,5a2e6a51-614e-46d6-a6a9-9b56656bfa54,Vulcan,support,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,18.5,17.4,1.1,False,17.963333333333335,24.346666666666668,11.58,24.346666666666668,18.5,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1739477742600_ggsdgs12.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,4679bf06-b788-4a83-a167-8e6121fe4ca9,5051003b-a465-42b8-ab18-5765d5668348,APA,mid,1155b4eb-b55e-4cf2-9d66-9476d31db16f,C9,Cloud9 Kia,17.5,17.5,0.0,False,,,,,,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,DSG,red,2026-08-08T20:00:00.000Z,http://static.lolesports.com/players/1726214761765_TL_1500x1500_APA_04.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,db7c50b1-a307-4f9d-8df3-b0c6ac8c3f05,ad1d3cd7-b135-4063-9230-529d64631ffb,Yeon,bottom,40dbf5d2-24ba-4894-b90f-4397fe4a53ea,TLAW,Team Liquid Alienware,22,21.4,0.6,False,28.0975,26.5,26.5,29.695,22,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY,blue,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1726214767306_TL_1500x1500_YEON_03.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,5b76982d-8d0e-4877-83cb-38bea42f23cd,89cd186d-7ba4-44e4-9f69-caaa0b1c859a,Josedeodo,jungle,40dbf5d2-24ba-4894-b90f-4397fe4a53ea,TLAW,Team Liquid Alienware,20,19.6,0.4,False,21.475,23.810000000000002,19.14,23.810000000000002,20,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY,blue,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1753347194592_image6420.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,d3257be3-4df9-4cc9-ba5c-5ffcbf01d1d3,eb1c7f89-eeb7-42aa-b224-41876f739288,eXyu,jungle,cf32ee67-1ed0-483e-8c80-9a45a2406ec7,DIG,Dignitas,12.5,12.8,-0.3,False,13.833333333333334,13.08,13.08,14.586666666666668,12.5,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,LYON,red,2026-08-09T20:00:00.000Z,http://static.lolesports.com/players/1739478623419_ggsdgs0.png,https://api.lcsofficial.gg/market
2026-08-05T22:38:48.280380Z,7acdea78-152f-4d53-8cca-f42e37534be8,Round 3 (Split 3),2,2026-08-04T15:00:00.000Z,2026-08-08T20:00:00.000Z,True,ca02586a-dcd9-411b-aad1-a97c340952ca,d133f390-cbca-4fc9-990a-1698add0efcb,Quid,mid,40dbf5d2-24ba-4894-b90f-4397fe4a53ea,TLAW,Team Liquid Alienware,21.2,21.4,-0.2,False,24.9675,22.924999999999997,22.924999999999997,27.01,21.2,b4b7af39-ebdc-4e51-84a9-95ce4196793e,2026 - Split 2,2026,FLY,blue,2026-08-09T23:00:00.000Z,http://static.lolesports.com/players/1753349183025_image6322.png,https://api.lcsofficial.gg/market
